Question FR,Réponse Fr 1,Réponse Fr 2,Réponse Fr 3,Réponse Fr 4,Question EN,Réponse En 1,Réponse En 2,Réponse En 3,Réponse En 4,Bonne réponse
Quel célèbre flic homme-robot a été adapté en comics par Frank Miller ?,Terminator,Robocop,Bender,Inspecteur Gadget,Which famous android cop was adapted into comics by Frank Miller?,Terminator,Robocop,Bender,Inspector Gadget,1
Quel personnage de Walking Dead se bat avec des katanas ?,Michonne,Carl,Rick,Glenn,Which Walking Dead character fights with katanas?,Michonne,Carl,Rick,Glenn,0
À quelle vitesse doit aller une Delorean pour retourner vers le futur ,"2,21 gigowatts",88 km/h,299 792 458 m/s,88 miles/h,How fast must a Delorean go to return to the future?,"2,21 gigowatts",88 km/h,299 792 458 m/s,88 miles/h,3
Qui a réalisé la prod du son Overlap ?,Tileo,Neo,Timeo,Vimeo,Who produced the Overlap sound?,Tileo,Neo,Timeo,Vimeo,0
Quel est le premier niveau dans lequel sont projetés nos héros dans le film Overlap ?,Dinosaure,Matrix,Forêt,Sherlock Holmes,What is the first level in which our heroes are projected in the Overlap film?,Dinosaur,Matrix,Forest,Sherlock Holmes,3
Dans quel dessin animé un livreur de pizza se réveille 1000 ans dans le futur après avoir été cryogénisé ?,Les Simpsons,Family Guy,Futurama,Bojack Horseman,In which cartoon does a pizza delivery boy wakes up 1000 years in the future after being cryogenized?,The Simpsons,Family Guy,Futurama,Bojack Horseman,2
"Qui a dit ""De grands pouvoirs impliquent de grandes responsabilités"" ?",Peter Parker,Superman,Oncle Ben,Alfred,"Who said ""Great powers come with great responsibilities""?",Peter Parker,Superman,Oncle Ben,Alfred,2
Quel est le nom du café dans la série Friends ?,Mclaren’s,Central Perk,Pop’s,Starbuck's,What is the name of the cafe in Friends?,Mclaren’s,Central Perk,Pop’s,Starbuck's,1
"En quelle année est paru pour la première édition le titre ""Billie Jean"" de Michael Jackson ?",1978,1982,1984,1988,"In which year did Michael Jackson's title ""Billie Jean"" first appeared?",1978,1982,1984,1988,1
Quel artiste était présent pendant la mi-temps du Super Bowl 2016 ?,Beyoncé,Justin Timberlake,Lady Gaga,Ed Sheeran,Which artist was present during Super Bowl 2016 halftime?,Beyonce,Justin Timberlake,Lady Gaga,Ed Sheeran,2
À quelle espèce appartient Chewbacca dans Star Wars ?,Ewok,Wookie,Dewback,Chewbie,What species does Chewbacca belong to in Star Wars?,Ewok,Wookie,Dewback,Chewbie,1
